first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
David,Ospina,0,0,7,110,0,0.0,20.6,0.0,0,32,2.1,1,0,0,0.2,48
Petr,Cech,0,0,115,2859,45,0.0,657.0,0.0,7,576,65.4,10,0,1,4.7,53
Damian Emiliano,Martinez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40
Laurent,Koscielny,2,0,98,2135,31,122.3,671.6,131.0,16,538,92.7,9,0,4,1.7,60
Per,Mertesacker,1,0,15,351,7,3.0,115.4,38.0,2,77,15.7,0,0,0,0.5,47
Gabriel Armando,de Abreu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Héctor,Bellerín,2,2,107,2690,41,496.8,455.2,462.0,7,538,141.5,10,0,5,10.1,59
Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45
Nacho,Monreal,4,2,119,2103,27,222.7,645.0,269.0,14,574,113.9,10,0,3,7.9,56
Rob,Holding,0,1,20,639,14,37.6,163.0,24.0,0,153,22.4,2,0,2,0.6,44
Shkodran,Mustafi,3,1,98,2021,27,118.0,757.8,200.0,10,549,107.8,9,0,5,4.8,55
Sead,Kolasinac,1,4,87,1836,26,314.2,367.4,333.0,6,423,101.6,8,0,3,6.2,58
Mesut,Özil,4,9,112,2161,36,1287.5,640.6,555.0,11,506,248.6,8,0,4,2.7,93
Santiago,Cazorla,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,69
Aaron,Ramsey,6,8,109,1556,21,404.8,514.6,654.0,10,409,157.2,8,0,0,4.0,68
Francis,Coquelin,0,0,7,164,6,16.9,22.2,8.0,0,35,4.8,0,0,0,0.5,43
Alex,Iwobi,2,5,72,1424,21,492.9,338.0,549.0,2,327,137.7,7,0,1,1.0,51
Mohamed,Elneny,0,1,21,821,12,179.9,132.0,90.0,0,145,40.2,3,1,3,3.3,42
Granit,Xhaka,1,6,93,2809,44,699.0,618.8,349.0,2,517,166.6,10,0,7,6.7,51
Jack,Wilshere,1,2,40,1114,16,254.4,236.2,165.0,2,213,65.6,3,0,6,0.7,51
Danny,Welbeck,5,2,64,1006,18,169.1,278.4,369.0,6,231,81.8,4,0,1,1.3,73
Lucas,Pérez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,74
Alexandre,Lacazette,11,4,113,1946,27,482.9,584.4,1165.0,7,437,223.0,8,0,1,6.7,102
Henrikh,Mkhitaryan,2,9,91,1367,13,616.7,423.0,292.0,8,355,133.5,10,0,2,7.3,77
Calum,Chambers,0,0,15,696,12,39.1,173.6,132.0,0,117,34.5,1,0,1,0.3,47
Reiss,Nelson,0,0,3,81,2,16.5,11.8,4.0,0,16,3.3,0,0,0,0.0,47
Ainsley,Maitland-Niles,0,0,20,665,10,89.9,120.4,33.0,0,107,24.4,3,0,0,0.1,45
Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Edward,Nketiah,0,0,2,11,0,0.5,5.0,17.0,0,8,2.3,0,0,0,0.0,50
Mathieu,Debuchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42
Pierre-Emerick,Aubameyang,6,2,50,700,10,138.8,284.6,308.0,6,206,73.1,2,0,0,14.9,108
Joseph,Willock,0,0,2,67,1,2.8,5.8,4.0,0,6,1.3,0,0,0,0.0,45
Asmir,Begovic,0,0,98,3150,58,20.0,718.0,0.0,4,571,73.5,5,0,2,4.2,45
Artur,Boruc,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,41
Adam,Federici,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40
Simon,Francis,0,0,44,2528,45,401.4,658.8,148.0,1,438,121.0,3,1,8,1.3,43
Steve,Cook,2,1,72,2494,50,64.0,797.8,235.0,7,445,109.6,4,0,5,1.1,46
Charlie,Daniels,1,2,82,2731,47,426.7,534.6,175.0,4,529,113.7,5,0,0,7.0,47
Adam,Smith,1,3,56,2067,38,345.5,455.0,144.0,3,376,94.5,2,0,6,0.5,48
Tyrone,Mings,0,0,0,135,4,0.3,22.6,2.0,0,17,2.5,0,0,1,0.2,42
Bradley,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,39
Nathan,Aké,2,3,93,3082,56,112.7,878.4,194.0,8,596,118.6,5,0,5,6.6,51
Harry,Arter,1,0,27,959,13,76.1,146.0,69.0,0,156,29.2,3,0,4,0.4,47
Marc,Pugh,0,0,29,897,17,181.1,90.8,222.0,0,92,49.1,4,0,2,0.1,47
Andrew,Surman,2,4,71,1653,28,203.4,405.0,95.0,7,319,70.3,4,0,2,3.2,43
Junior,Stanislas,5,3,75,1285,22,377.2,394.8,483.0,7,285,125.1,2,0,1,0.4,58
Dan,Gosling,2,1,55,1827,39,258.3,371.8,255.0,4,244,88.6,1,0,8,0.1,48
Max,Gradel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Jordon,Ibe,2,6,82,1872,32,540.4,352.8,603.0,5,278,149.4,4,0,1,1.2,47
Lewis,Cook,0,2,54,2054,40,372.8,422.6,117.0,0,314,91.4,2,0,4,1.3,43
Ryan,Fraser,4,3,82,1733,35,592.8,423.6,369.0,10,331,138.2,1,0,0,0.7,51
Callum,Wilson,7,2,90,1797,31,275.5,354.6,680.0,10,266,130.6,5,0,0,5.5,57
Benik,Afobe,0,1,24,534,12,62.6,33.8,219.0,0,73,31.3,0,0,0,0.2,57
Lys,Mousset,2,0,32,459,13,44.0,101.6,214.0,3,94,35.8,1,0,1,0.2,49
Joshua,King,6,4,95,2180,35,490.5,500.4,761.0,8,325,175.3,6,0,2,1.8,70
Jermain,Defoe,4,1,55,1025,21,124.3,182.6,516.0,5,172,81.8,2,0,1,1.4,76
Aaron,Ramsdale,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
