player,position,,,
Almen Abdi,Midfielder,,,
Tammy Abraham,Forward,,,
Charlie Adam,Midfielder,,,
Adam Smith,Defender,,,
Emmanuel Adebayor,Forward,,,
Albert Adomah,Midfielder,,,
Adrián,Goalkeeper,,,
Ibrahim Afellay,Midfielder,,,
Benik Afobe,Forward,,,
Michael Agazzi,Goalkeeper,,,
Sergio Agüero,Forward,,,
Daniel Agyei,Forward,,,
Ahmed El Mohamady,Defender,,,
Nathan Aké,Defender,,,
Chuba Akpom,Forward,,,
Marc Albrighton,Midfielder,,,
Toby Alderweireld,Defender,,,
Aleix García,Midfielder,,,
Trent Alexander-Arnold,Defender,,,
Allan McGregor,Goalkeeper,,,
Allan Nyom,Defender,,,
Joe Allen,Midfielder,,,
Marcos Alonso,Defender,,,
Daniel Amartey,Midfielder,,,
Jordi Amat,Defender,,,
Marco Amelia,Goalkeeper,,,
Nordin Amrabat,Forward,,,
Tom Anderson,Defender,,,
André Ayew,Forward,,,
Andreas Pereira,Midfielder,,,
Angeliño,Defender,,,
Victor Anichebe,Forward,,,
Michail Antonio,Midfielder,,,
Antonio Valencia,Defender,,,
Ikechi Anya,Midfielder,,,
Scott Arfield,Midfielder,,,
Giedrius Arlauskis,Goalkeeper,,,
Marko Arnautovic,Forward,,,
Harry Arter,Midfielder,,,
Mikel Arteta,Midfielder,,,
Ashley Williams,Defender,,,
Christian Atsu,Midfielder,,,
Charlie Austin,Forward,,,
Daniel Ayala,Defender,,,
César Azpilicueta,Defender,,,
Abdul Rahman Baba,Defender,,,
Daniel Bachmann,Goalkeeper,,,
Eric Bailly,Defender,,,
Leighton Baines,Defender,,,
Lewis Baker,Midfielder,,,
Alex Baptiste,Defender,,,
Phil Bardsley,Defender,,,
Brandon Barker,Midfielder,,,
Ross Barkley,Midfielder,,,
Ashley Barnes,Forward,,,
Modou Barrow,Forward,,,
Gareth Barry,Midfielder,,,
Kyle Bartley,Defender,,,
Michy Batshuayi,Forward,,,
Asmir Begovic,Goalkeeper,,,
Valon Behrami,Midfielder,,,
Essaïd Belkalem,Defender,,,
Héctor Bellerín,Defender,,,
Yohan Benalouane,Defender,,,
Ismael Bennacer,Midfielder,,,
Nabil Bentaleb,Midfielder,,,
Christian Benteke,Forward,,,
Saido Berahino,Forward,,,
Steven Berghuis,Forward,,,
Ryan Bertrand,Defender,,,
Muhamed Besic,Midfielder,,,
Krystian Bielik,Defender,,,
Jamal Blackman,Goalkeeper,,,
Daley Blind,Defender,,,
Adam Bogdan,Goalkeeper,,,
Bojan,Forward,,,
Yannick Bolasie,Forward,,,
Wilfried Bony,Forward,,,
Fabio Borini,Forward,,,
Borja Bastón,Forward,,,
Cameron Borthwick-Jackson,Defender,,,
Artur Boruc,Goalkeeper,,,
Sofiane Boufal,Midfielder,,,
George Boyd,Midfielder,,,
Brad Smith,Defender,,,
Robbie Brady,Midfielder,,,
Cameron Brannagan,Midfielder,,,
Claudio Bravo,Goalkeeper,,,
Miguel Britos,Defender,,,
Leon Britton,Midfielder,,,
Isaiah Brown,Midfielder,,,
Marcus Browne,Midfielder,,,
Tyias Browning,Defender,,,
Alex Bruce,Defender,,,
Chris Brunt,Midfielder,,,
Matt Butcher,Defender,,,
Jack Butland,Goalkeeper,,,
Sam Byram,Defender,,,
Willy Caballero,Goalkeeper,,,
Yohan Cabaye,Midfielder,,,
Martín Cáceres,Defender,,,
Gary Cahill,Defender,,,
Jonathan Calleri,Forward,,,
Dominic Calvert-Lewin,Forward,,,
Geoff Cameron,Defender,,,
Joel Campbell,Forward,,,
Emre Can,Midfielder,,,
Sergi Canos,Forward,,,
Etienne Capoue,Midfielder,,,
Mustapha Carayol,Midfielder,,,
Michael Carrick,Midfielder,,,
Tom Carroll,Midfielder,,,
Cameron Carter-Vickers,Defender,,,
Craig Cathcart,Defender,,,
Lee Cattermole,Midfielder,,,
Santiago Cazorla,Midfielder,,,
Petr Cech,Goalkeeper,,,
Cédric Soares,Defender,,,
Bersant Celina,Midfielder,,,
Nacer Chadli,Midfielder,,,
Nathaniel Chalobah,Midfielder,,,
Marouane Chamakh,Forward,,,
Calum Chambers,Defender,,,
James Chester,Defender,,,
Ben Chilwell,Defender,,,
Pedro Chirivella,Midfielder,,,
Jake Clarke-Salter,Defender,,,
Jordy Clasie,Midfielder,,,
Adam Clayton,Midfielder,,,
Daniel Cleary,Defender,,,
Tom Cleverley,Midfielder,,,
Gaël Clichy,Defender,,,
Sam Clucas,Midfielder,,,
Nathaniel Clyne,Defender,,,
Seamus Coleman,Defender,,,
Charlie Colkett,Midfielder,,,
James Collins,Defender,,,
Callum Connolly,Defender,,,
Francis Coquelin,Midfielder,,,
Jack Cork,Midfielder,,,
Thibaut Courtois,Goalkeeper,,,
Coutinho,Midfielder,,,
Aaron Cresswell,Defender,,,
Luke Croll,Defender,,,
Peter Crouch,Forward,,,
Cuco Martina,Defender,,,
Josh Cullen,Midfielder,,,
Damiá,Defender,,,
Daniel Lafferty,Defender,,,
Charlie Daniels,Defender,,,
Scott Dann,Defender,,,
Danny Graham,Forward,,,
Danny Ings,Forward,,,
Tendayi Darikwa,Defender,,,
Matteo Darmian,Defender,,,
David Luiz,Defender,,,
Tom Davies,Midfielder,,,
Kelvin Davis,Goalkeeper,,,
Michael Dawson,Defender,,,
Kevin De Bruyne,Midfielder,,,
David de Gea,Goalkeeper,,,
Ritchie de Laet,Defender,,,
Carlos De Pena,Midfielder,,,
Julien de Sart,Midfielder,,,
Mathieu Debuchy,Defender,,,
Troy Deeney,Forward,,,
Jermain Defoe,Forward,,,
Steven Defour,Midfielder,,,
Damien Delaney,Defender,,,
Dele Alli,Midfielder,,,
Fabian Delph,Midfielder,,,
Mousa Dembélé,Midfielder,,,
Martín Demichelis,Defender,,,
Memphis Depay,Forward,,,
Gerard Deulofeu,Forward,,,
Mohamed Diamé,Midfielder,,,
Diego Costa,Forward,,,
Eric Dier,Midfielder,,,
Adama Diomande,Forward,,,
Dionatan Teixeira,Defender,,,
Mame Biram Diouf,Midfielder,,,
Sylvain Distin,Defender,,,
George Dobson,Midfielder,,,
Joseph Dodoo,Forward,,,
Abdoulaye Doucouré,Midfielder,,,
Kieran Dowell,Midfielder,,,
Stewart Downing,Midfielder,,,
Luke Dreher,Midfielder,,,
Daniel Drinkwater,Midfielder,,,
Michael Duff,Defender,,,
Cameron Dummigan,Defender,,,
Lloyd Dyer,Midfielder,,,
Éder,Forward,,,
Joel Ekstrand,Defender,,,
Omar Elabdellaoui,Defender,,,
Andrew Eleftheriou,Defender,,,
Tommy Elphick,Defender,,,
Emmanuel Emenike,Forward,,,
Emmanuel Eboué,Defender,,,
Marvin Emnes,Forward,,,
Christian Eriksen,Midfielder,,,
Lukasz Fabianski,Goalkeeper,,,
Cesc Fàbregas,Midfielder,,,
David Faupala,Forward,,,
Federico Fazio,Defender,,,
