,first_name,second_name,id,position
0,David,Ospina,1,Goalkeeper
1,Petr,Cech,2,Goalkeeper
2,Damian Emiliano,Martinez,3,
3,Laurent,Koscielny,4,Defender
4,Per,Mertesacker,5,Defender
5,Gabriel Armando,de Abreu,6,
6,Héctor,Bellerín,7,Defender
7,Kieran,Gibbs,8,Defender
8,Carl,Jenkinson,9,Defender
9,Nacho,Monreal,10,Defender
10,Rob,Holding,11,Defender
11,Shkodran,Mustafi,12,Defender
12,Sead,Kolasinac,13,Defender
13,Alexis,Sánchez,14,Forward
14,Theo,Walcott,15,Forward
15,Mesut,Özil,16,Midfielder
16,Santiago,Cazorla,17,Midfielder
17,Aaron,Ramsey,18,Midfielder
18,Alex,Oxlade-Chamberlain,19,Midfielder
19,Francis,Coquelin,20,Midfielder
20,Alex,Iwobi,21,Midfielder
21,Mohamed,Elneny,22,Midfielder
22,Granit,Xhaka,23,Midfielder
23,Jack,Wilshere,24,Midfielder
24,Olivier,Giroud,25,Forward
25,Danny,Welbeck,26,Forward
26,Lucas,Pérez,27,Forward
27,Alexandre,Lacazette,28,Forward
28,Asmir,Begovic,29,Goalkeeper
29,Artur,Boruc,30,Goalkeeper
30,Adam,Federici,31,Goalkeeper
31,Simon,Francis,32,Defender
32,Steve,Cook,33,Defender
33,Charlie,Daniels,34,Defender
34,Adam,Smith,35,Defender
35,Tyrone,Mings,36,Defender
36,Bradley,Smith,37,
37,Nathan,Aké,38,Defender
38,Harry,Arter,39,Midfielder
39,Marc,Pugh,40,Midfielder
40,Andrew,Surman,41,Midfielder
41,Junior,Stanislas,42,Midfielder
42,Dan,Gosling,43,Midfielder
43,Max,Gradel,44,Forward
44,Jordon,Ibe,45,Midfielder
45,Lewis,Cook,46,Midfielder
46,Ryan,Fraser,47,Midfielder
47,Callum,Wilson,48,
48,Benik,Afobe,49,Forward
49,Lys,Mousset,50,Forward
50,Joshua,King,51,Forward
51,Jermain,Defoe,52,Forward
52,Niki,Mäenpää,53,Goalkeeper
53,Mathew,Ryan,54,
54,Lewis,Dunk,55,Defender
55,Shane,Duffy,56,Defender
56,Uwe,Hünemeier,57,Defender
57,Bruno,Saltor Grau,58,
58,Gaëtan,Bong,59,Defender
59,Liam,Rosenior,60,Defender
60,Connor,Goldson,61,Defender
61,Anthony,Knockaert,62,Midfielder
62,Dale,Stephens,63,Midfielder
