assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,254,0,0,0,0.0,14802,0.0,0,2018-02-03T12:30:00Z,03 Feb 12:30,0,0,0,0,0,11,0,0,0,0,0,0,26,0,0,0,0,0,1,1,0.0,0,0,0,0,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,268,0,0,0,0.0,15427,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,16,0,0,0,0,0,0,27,0,99,0,0,0,0,1,0.0,0,47,76,29,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,274,0,0,0,0.0,16054,0.0,0,2018-02-24T15:00:00Z,24 Feb 15:00,0,0,0,0,0,14,0,0,0,0,0,0,28,0,270,0,0,0,1,1,0.0,0,68,103,35,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,282,0,0,0,0.0,16684,0.0,0,2018-03-03T12:30:00Z,03 Mar 12:30,0,0,0,0,0,7,0,0,0,0,0,0,29,0,293,0,0,0,1,2,0.0,0,6,25,19,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,300,0,0,0,0.0,17317,0.0,0,2018-03-10T15:00:00Z,10 Mar 15:00,0,0,0,0,0,20,0,0,0,0,0,0,30,0,302,0,0,0,3,0,0.0,0,-8,23,31,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,319,0,0,0,0.0,18218,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,19,0,0,0,0,0,0,32,0,311,0,0,0,2,1,0.0,0,1,13,12,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,329,0,0,0,0.0,18855,0.0,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,0,0,0,18,0,0,0,0,0,0,33,0,327,0,0,0,2,1,0.0,0,0,13,13,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,331,0,0,0,0.0,19727,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,9,0,0,0,0,0,0,34,0,348,0,0,0,1,2,0.0,0,10,23,13,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,302,0,0,0,0.0,19726,0.0,0,2018-04-19T18:45:00Z,19 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,34,0,348,0,0,0,2,1,0.0,0,10,23,13,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,623,0,0,348,0,0,0,0.0,20140,0.0,0,2018-04-22T12:30:00Z,22 Apr 13:30,0,0,0,0,0,15,0,0,0,0,0,0,35,0,350,0,0,0,,,0.0,0,2,11,9,45,False,0,0
