player,position
Rolando Aarons,Forward
Tammy Abraham,Forward
Charlie Adam,Midfielder
Adam Smith,Defender
Adrián,Goalkeeper
Adrien Silva,Midfielder
Ibrahim Afellay,Midfielder
Benik Afobe,Forward
Sergio Agüero,Forward
Daniel Agyei,Forward
Soufyan Ahannach,Forward
Ahmed Hegazi,Defender
Nathan Aké,Defender
Chuba Akpom,Forward
Marc Albrighton,Midfielder
Toby Alderweireld,Defender
Aleix García,Midfielder
Trent Alexander-Arnold,Defender
Ali Gabr,Defender
Allan,Midfielder
Allan Nyom,Defender
Joe Allen,Midfielder
Ryan Allsop,Goalkeeper
Marcos Alonso,Defender
Daniel Amartey,Midfielder
Jordi Amat,Defender
Luke Amos,Midfielder
Ethan Ampadu,Defender
Nordin Amrabat,Forward
Tom Anderson,Defender
André Ayew,Forward
Andreas Pereira,Midfielder
Vurnon Anita,Midfielder
Michail Antonio,Midfielder
Antonio Valencia,Defender
Scott Arfield,Midfielder
Giedrius Arlauskis,Goalkeeper
Adam Armstrong,Forward
Marko Arnautovic,Forward
Harry Arter,Midfielder
Ashley Williams,Defender
Christian Atsu,Midfielder
Pierre-Emerick Aubameyang,Forward
Serge Aurier,Defender
Charlie Austin,Forward
Ayoze Pérez,Forward
César Azpilicueta,Defender
Abdul Rahman Baba,Defender
Daniel Bachmann,Goalkeeper
Badou Ndiaye,Midfielder
Eric Bailly,Defender
Leighton Baines,Defender
Tiemoué Bakayoko,Midfielder
Lewis Baker,Midfielder
Courtney Baker-Richardson,Forward
Sam Baldock,Forward
Beni Baningime,Midfielder
Lewis Banks,Defender
Phil Bardsley,Defender
Ross Barkley,Midfielder
Daniel Barlaser,Midfielder
Ashley Barnes,Forward
Modou Barrow,Forward
Gareth Barry,Midfielder
Kyle Bartley,Defender
Michy Batshuayi,Forward
Moritz Bauer,Defender
Jose Baxter,Midfielder
Jan Bednarek,Defender
Asmir Begovic,Goalkeeper
Valon Behrami,Midfielder
Héctor Bellerín,Defender
Yasin Ben El-Mhanni,Midfielder
Yohan Benalouane,Defender
Christian Benteke,Forward
Saido Berahino,Forward
Steven Berghuis,Forward
Bernardo Silva,Midfielder
Ryan Bertrand,Defender
Muhamed Besic,Midfielder
Krystian Bielik,Defender
Philip Billing,Midfielder
Mark Birighitti,Goalkeeper
Henrik Rorvik Bjørdal,Midfielder
Daley Blind,Defender
Hiram Boateng,Midfielder
Jeremie Boga,Midfielder
Adam Bogdan,Goalkeeper
Bojan,Forward
Yannick Bolasie,Forward
Gaëtan Bong,Defender
Wilfried Bony,Forward
Regan Booty,Midfielder
Borja Bastón,Forward
Cameron Borthwick-Jackson,Defender
Artur Boruc,Goalkeeper
Sofiane Boufal,Midfielder
George Boyd,Midfielder
Brad Smith,Defender
Robbie Brady,Midfielder
Cohen Bramall,Defender
Cameron Brannagan,Midfielder
Claudio Bravo,Goalkeeper
Rhian Brewster,Forward
Miguel Britos,Defender
Leon Britton,Midfielder
Nathan Broadhead,Midfielder
Isaiah Brown,Midfielder
Marcus Browne,Midfielder
Bruno,Defender
