FirstName,Surname,PositionsList,Team
Rolando,Aarons,MID,Newcastle Utd
Tammy,Abraham,FWD,Swansea
Charlie,Adam,MID,Stoke
Adam,Smith,DEF,Bournemouth
Oluwatosin,Adarabioyo,DEF,Man City
Adrián,San Miguel del Castillo,GLK,West Ham
Ibrahim,Afellay,MID,Stoke
Benik,Afobe,FWD,Bournemouth
Sergio,Agüero,FWD,Man City
Nathan,Aké,DEF,Bournemouth
Marc,Albrighton,MID,Leicester
Toby,Alderweireld,DEF,Tottenham
Trent,Alexander-Arnold,DEF,Liverpool
Joe,Allen,MID,Stoke
Bamidele,Alli,MID,Tottenham
Marcos,Alonso,DEF,Chelsea
Daniel,Amartey,MID,Leicester
Ethan,Ampadu,MID,Chelsea
Nordin,Amrabat,MID,Watford
Keshi,Anderson,FWD,Crystal Palace
André,Ayew,MID,Swansea
Michail,Antonio,MID,West Ham
Scott,Arfield,MID,Burnley
Marko,Arnautovic,MID,West Ham
Harry,Arter,MID,Bournemouth
Christian,Atsu,MID,Newcastle Utd
Pierre-Emerick,Aubameyang,FWD,Arsenal
Serge,Aurier,DEF,Tottenham
Charlie,Austin,FWD,Southampton
César,Azpilicueta,DEF,Chelsea
Daniel,Bachmann,GLK,Watford
 ,Badou Ndiaye,MID,Stoke
Eric,Bailly,DEF,Man Utd
Leighton,Baines,DEF,Everton
Tiemoué,Bakayoko,MID,Chelsea
Sam,Baldock,FWD,Brighton & Hove Albion
Beni,Baningime,MID,Everton
Phil,Bardsley,DEF,Burnley
Ross,Barkley,MID,Chelsea
Ashley,Barnes,FWD,Burnley
Harvey,Barnes,MID,Leicester
Modou,Barrow,MID,Swansea
Gareth,Barry,MID,West Brom
Kyle,Bartley,DEF,Swansea
Michy,Batshuayi,FWD,Chelsea
Moritz,Bauer,DEF,Stoke
Jan,Bednarek,DEF,Southampton
Asmir,Begovic,GLK,Bournemouth
Valon,Behrami,MID,Watford
Héctor,Bellerín,DEF,Arsenal
Yohan,Benalouane,DEF,Leicester
Christian,Benteke,FWD,Crystal Palace
Saido,Berahino,FWD,Stoke
Steven,Berghuis,MID,Watford
Bernardo Mota,Veiga de Carvalho e Silva,MID,Man City
Ryan,Bertrand,DEF,Southampton
Muhamed,Besic,MID,Everton
Philip,Billing,MID,Huddersfield Town
Daley,Blind,DEF,Man Utd
Jeremie,Boga,MID,Chelsea
Bojan,Krkic Perez,MID,Stoke
Yannick,Bolasie,MID,Everton
Gaëtan,Bong,DEF,Brighton & Hove Albion
Wilfried,Bony,FWD,Swansea
Artur,Boruc,GLK,Bournemouth
Sofiane,Boufal,MID,Southampton
Bradley,Smith,DEF,Bournemouth
Robbie,Brady,MID,Burnley
Claudio,Bravo,GLK,Man City
Miguel,Britos,DEF,Watford
Leon,Britton,MID,Swansea
Isaiah,Brown,MID,Brighton & Hove Albion
Marcus,Browne,MID,West Ham
Bruno,Saltor Grau,DEF,Brighton & Hove Albion
Chris,Brunt,MID,West Brom
Harry,Bunn,MID,Huddersfield Town
Oliver,Burke,MID,West Brom
Reece,Burke,DEF,West Ham
Matt,Butcher,MID,Bournemouth
Jack,Butland,GLK,Stoke
Sam,Byram,DEF,West Ham
Willy,Caballero,GLK,Chelsea
Yohan,Cabaye,MID,Crystal Palace
Gary,Cahill,DEF,Chelsea
Dominic,Calvert-Lewin,FWD,Everton
Rafael,Camacho,MID,Liverpool
Geoff,Cameron,DEF,Stoke
Tyrese,Campbell,FWD,Stoke
Emre,Can,MID,Liverpool
Etienne,Capoue,MID,Watford
Michael,Carrick,MID,Man Utd
André,Carrillo,MID,Watford
Guido,Carrillo,FWD,Southampton
Andy,Carroll,FWD,West Ham
Tom,Carroll,MID,Swansea
Cameron,Carter-Vickers,DEF,Tottenham
Craig,Cathcart,DEF,Watford
Diego,Cavalieri,GLK,Crystal Palace
Santiago,Cazorla,MID,Arsenal
Petr,Cech,GLK,Arsenal
Cédric,Soares,DEF,Southampton
Nacer,Chadli,MID,West Brom
Nathaniel,Chalobah,MID,Watford
Trevoh,Chalobah,DEF,Chelsea
Alex,Oxlade-Chamberlain,MID,Liverpool
Calum,Chambers,DEF,Arsenal
 ,Chicharito,FWD,West Ham
Benjamin,Chilwell,DEF,Leicester
Hamza,Choudhury,MID,Leicester
Eric Maxim,Choupo-Moting,MID,Stoke
Andreas,Christensen,DEF,Chelsea
Ciaran,Clark,DEF,Newcastle Utd
Jordy,Clasie,MID,Southampton
Tom,Cleverley,MID,Watford
Sam,Clucas,MID,Swansea
Nathaniel,Clyne,DEF,Liverpool
Jack,Colback,MID,Newcastle Utd
Joel,Coleman,GLK,Huddersfield Town
Seamus,Coleman,DEF,Everton
James,Collins,DEF,West Ham
Francis,Coquelin,MID,Arsenal
Jack,Cork,MID,Burnley
Diego,Da Silva Costa,FWD,Chelsea
Thibaut,Courtois,GLK,Chelsea
Philippe,Coutinho,MID,Liverpool
Martin,Cranie,DEF,Huddersfield Town
Aaron,Cresswell,DEF,West Ham
Peter,Crouch,FWD,Stoke
Josh,Cullen,MID,West Ham
James,Daly,FWD,Crystal Palace
Charlie,Daniels,DEF,Bournemouth
Danilo Luiz,da Silva,DEF,Man City
Scott,Dann,DEF,Crystal Palace
Karl,Darlow,GLK,Newcastle Utd
Matteo,Darmian,DEF,Man Utd
David,Luiz Moreira Marinho,DEF,Chelsea
David,Silva,MID,Man City
Ben,Davies,DEF,Tottenham
Tom,Davies,MID,Everton
Steven,Davis,MID,Southampton
Craig,Dawson,DEF,West Brom
Kevin,De Bruyne,MID,Man City
David,de Gea,GLK,Man Utd
Siem,de Jong,MID,Newcastle Utd
Mathieu,Debuchy,DEF,Arsenal
Troy,Deeney,FWD,Watford
Jermain,Defoe,FWD,Bournemouth
Steven,Defour,MID,Burnley
Damien,Delaney,DEF,Crystal Palace
Fabian,Delph,MID,Man City
Mousa,Dembélé,MID,Tottenham
Laurent,Depoitre,FWD,Huddersfield Town
Gerard,Deulofeu,MID,Watford
Fousseni,Diabaté,FWD,Leicester
Mohamed,Diamé,MID,Newcastle Utd
Grady,Diangana,MID,West Ham
Brahim,Diaz,MID,Man City
Eric,Dier,MID,Tottenham
Mame Biram,Diouf,FWD,Stoke
Abdoulaye,Doucouré,MID,Watford
Aleksandar,Dragovic,DEF,Leicester
Daniel,Drinkwater,MID,Chelsea
Martin,Dubravka,GLK,Newcastle Utd
Shane,Duffy,DEF,Brighton & Hove Albion
Paul,Dummett,DEF,Newcastle Utd
Lewis,Dunk,DEF,Brighton & Hove Albion
Nathan,Dyer,MID,Swansea
Ederson,Santana de Moraes,GLK,Man City
Eduardo,dos Reis Carvalho,GLK,Chelsea
Thomas,Edwards,DEF,Stoke
Robert,Elliot,GLK,Newcastle Utd
Mohamed,Elneny,MID,Arsenal
Christian,Eriksen,MID,Tottenham
Jonny,Evans,DEF,West Brom
Patrice,Evra,DEF,West Ham
Lukasz,Fabianski,GLK,Swansea
Cesc,Fàbregas,MID,Chelsea
Adam,Federici,GLK,Bournemouth
Sofiane,Feghouli,MID,West Ham
Marouane,Fellaini,MID,Man Utd
Leroy,Fer,MID,Swansea
Nathan,Ferguson,DEF,West Brom
Edimilson,Fernandes,MID,West Ham
Federico,Fernández,DEF,Swansea
Fernando,Luiz Rosa,MID,Man City
 ,Fernando,MID,Man City
Sam,Field,MID,West Brom
Roberto,Firmino,FWD,Liverpool
Jon,Flanagan,DEF,Liverpool
Ashley,Fletcher,FWD,West Ham
Darren,Fletcher,MID,Stoke
Phil,Foden,MID,Man City
Michael,Folivi,FWD,Watford
Jose,Fonte,DEF,West Ham
Fraser,Forster,GLK,Southampton
Ben,Foster,GLK,West Brom
Timothy,Fosu-Mensah,DEF,Crystal Palace
Juan,Foyth,DEF,Tottenham
Simon,Francis,DEF,Bournemouth
Ryan,Fraser,MID,Bournemouth
Christian,Fuchs,DEF,Leicester
Jay,Fulton,MID,Swansea
Ramiro,Funes Mori,DEF,Everton
Manolo,Gabbiadini,FWD,Southampton
Ali,Gabr,DEF,West Brom
Gabriel Armando,de Abreu,DEF,Arsenal
Jesús,Gámez Duarte,DEF,Newcastle Utd
Luke,Garbutt,DEF,Everton
Dwight,Gayle,FWD,Newcastle Utd
Paulo,Gazzaniga,GLK,Tottenham
Kieran,Gibbs,DEF,West Brom
Olivier,Giroud,FWD,Chelsea
